method,alpha,coverage,dgp,statistic,n,B,repetitions
double-std,0.025,0.093,DGPNorm_0_1,mean,4,10,1000
wilcoxon,0.025,0.065,DGPNorm_0_1,mean,4,10,1000
ttest,0.025,0.045,DGPNorm_0_1,mean,4,10,1000
double-std,0.05,0.093,DGPNorm_0_1,mean,4,10,1000
wilcoxon,0.05,0.065,DGPNorm_0_1,mean,4,10,1000
ttest,0.05,0.071,DGPNorm_0_1,mean,4,10,1000
double-std,0.25,0.255,DGPNorm_0_1,mean,4,10,1000
wilcoxon,0.25,0.32,DGPNorm_0_1,mean,4,10,1000
ttest,0.25,0.289,DGPNorm_0_1,mean,4,10,1000
double-std,0.75,0.693,DGPNorm_0_1,mean,4,10,1000
wilcoxon,0.75,0.796,DGPNorm_0_1,mean,4,10,1000
ttest,0.75,0.71,DGPNorm_0_1,mean,4,10,1000
double-std,0.95,0.834,DGPNorm_0_1,mean,4,10,1000
wilcoxon,0.95,0.93,DGPNorm_0_1,mean,4,10,1000
ttest,0.95,0.917,DGPNorm_0_1,mean,4,10,1000
double-std,0.975,0.834,DGPNorm_0_1,mean,4,10,1000
wilcoxon,0.975,0.93,DGPNorm_0_1,mean,4,10,1000
ttest,0.975,0.958,DGPNorm_0_1,mean,4,10,1000
double-std,0.025,0.02,DGPNorm_0_1,mean,4,100,1000
wilcoxon,0.025,0.065,DGPNorm_0_1,mean,4,100,1000
ttest,0.025,0.041,DGPNorm_0_1,mean,4,100,1000
double-std,0.05,0.04,DGPNorm_0_1,mean,4,100,1000
wilcoxon,0.05,0.065,DGPNorm_0_1,mean,4,100,1000
ttest,0.05,0.071,DGPNorm_0_1,mean,4,100,1000
double-std,0.25,0.167,DGPNorm_0_1,mean,4,100,1000
wilcoxon,0.25,0.327,DGPNorm_0_1,mean,4,100,1000
ttest,0.25,0.282,DGPNorm_0_1,mean,4,100,1000
double-std,0.75,0.558,DGPNorm_0_1,mean,4,100,1000
wilcoxon,0.75,0.82,DGPNorm_0_1,mean,4,100,1000
ttest,0.75,0.735,DGPNorm_0_1,mean,4,100,1000
double-std,0.95,0.686,DGPNorm_0_1,mean,4,100,1000
wilcoxon,0.95,0.94,DGPNorm_0_1,mean,4,100,1000
ttest,0.95,0.936,DGPNorm_0_1,mean,4,100,1000
double-std,0.975,0.71,DGPNorm_0_1,mean,4,100,1000
wilcoxon,0.975,0.94,DGPNorm_0_1,mean,4,100,1000
ttest,0.975,0.966,DGPNorm_0_1,mean,4,100,1000
double-std,0.025,0.092,DGPNorm_0_1,mean,8,10,1000
wilcoxon,0.025,0.038,DGPNorm_0_1,mean,8,10,1000
ttest,0.025,0.037,DGPNorm_0_1,mean,8,10,1000
double-std,0.05,0.092,DGPNorm_0_1,mean,8,10,1000
wilcoxon,0.05,0.063,DGPNorm_0_1,mean,8,10,1000
ttest,0.05,0.065,DGPNorm_0_1,mean,8,10,1000
double-std,0.25,0.243,DGPNorm_0_1,mean,8,10,1000
wilcoxon,0.25,0.247,DGPNorm_0_1,mean,8,10,1000
ttest,0.25,0.251,DGPNorm_0_1,mean,8,10,1000
double-std,0.75,0.72,DGPNorm_0_1,mean,8,10,1000
wilcoxon,0.75,0.768,DGPNorm_0_1,mean,8,10,1000
ttest,0.75,0.734,DGPNorm_0_1,mean,8,10,1000
double-std,0.95,0.913,DGPNorm_0_1,mean,8,10,1000
wilcoxon,0.95,0.971,DGPNorm_0_1,mean,8,10,1000
ttest,0.95,0.955,DGPNorm_0_1,mean,8,10,1000
double-std,0.975,0.913,DGPNorm_0_1,mean,8,10,1000
wilcoxon,0.975,0.988,DGPNorm_0_1,mean,8,10,1000
ttest,0.975,0.978,DGPNorm_0_1,mean,8,10,1000
double-std,0.025,0.035,DGPNorm_0_1,mean,8,100,1000
wilcoxon,0.025,0.041,DGPNorm_0_1,mean,8,100,1000
ttest,0.025,0.041,DGPNorm_0_1,mean,8,100,1000
double-std,0.05,0.07,DGPNorm_0_1,mean,8,100,1000
wilcoxon,0.05,0.068,DGPNorm_0_1,mean,8,100,1000
ttest,0.05,0.075,DGPNorm_0_1,mean,8,100,1000
double-std,0.25,0.253,DGPNorm_0_1,mean,8,100,1000
wilcoxon,0.25,0.262,DGPNorm_0_1,mean,8,100,1000
ttest,0.25,0.255,DGPNorm_0_1,mean,8,100,1000
double-std,0.75,0.764,DGPNorm_0_1,mean,8,100,1000
wilcoxon,0.75,0.782,DGPNorm_0_1,mean,8,100,1000
ttest,0.75,0.737,DGPNorm_0_1,mean,8,100,1000
double-std,0.95,0.955,DGPNorm_0_1,mean,8,100,1000
wilcoxon,0.95,0.958,DGPNorm_0_1,mean,8,100,1000
ttest,0.95,0.933,DGPNorm_0_1,mean,8,100,1000
double-std,0.975,0.974,DGPNorm_0_1,mean,8,100,1000
wilcoxon,0.975,0.978,DGPNorm_0_1,mean,8,100,1000
ttest,0.975,0.964,DGPNorm_0_1,mean,8,100,1000
